phase,metric,baseline,vehicle_bridge,delta_vehicle_bridge_minus_baseline,point_direction
T0,log_loss,1.0349914826884867,1.0341324240052303,-0.0008590586832564195,improved
T0,macro_f1,0.44565801740739985,0.4489051915116263,0.0032471741042264246,improved
T0,brier_multiclass,0.6293211558408098,0.6286246324446616,-0.0006965233961482298,improved
T0,ece_10bin,0.05589475757522035,0.06042560007997841,0.004530842504758062,worsened
T0,average_precision_review_warranted,0.4591634231368264,0.4595840238689402,0.0004206007321138072,improved
T0,ndcg_review_warranted,0.831966658431941,0.8296669278880696,-0.0022997305438713367,worsened
T0,precision_at_top_10pct,0.5,0.5,0.0,unchanged
T0,recall_at_top_20pct,0.3333333333333333,0.3333333333333333,0.0,unchanged
T1,log_loss,1.0425404844505468,1.0412615839867037,-0.0012789004638431578,improved
T1,macro_f1,0.4455377905661572,0.4486381646393838,0.003100374073226553,improved
T1,brier_multiclass,0.630618383788912,0.630584683930822,-3.36998580899861e-05,improved
T1,ece_10bin,0.06310533685536575,0.044435733948508596,-0.018669602906857152,improved
T1,average_precision_review_warranted,0.4921337928406537,0.482781297350716,-0.009352495489937718,worsened
T1,ndcg_review_warranted,0.8407142994963885,0.8171845880178522,-0.02352971147853633,worsened
T1,precision_at_top_10pct,0.6333333333333333,0.6,-0.033333333333333326,worsened
T1,recall_at_top_20pct,0.33707865168539325,0.34831460674157305,0.011235955056179803,improved
