candidate_record_id,phase,p_review_warranted,p_review_not_warranted,p_insufficient_evidence,predicted_class,review_priority,prediction_origin
CAN-Z1CEVWXUT0,T0,0.11398734450309295,0.5415623184093628,0.3444503370875444,review_not_warranted,0.11398734450309295,full_fit
CAN-SIB7ACY70G,T0,0.24942110256023384,0.33379843567763956,0.41678046176212663,insufficient_evidence,0.24942110256023384,full_fit
CAN-PQXQQ41OZ5,T0,0.24555860250919861,0.31948879401747005,0.43495260347333126,insufficient_evidence,0.24555860250919861,full_fit
CAN-QCF4GZN8TD,T0,0.25134662423006887,0.390320317464147,0.35833305830578405,review_not_warranted,0.25134662423006887,outer_oof
CAN-TP15Z7VRP7,T0,0.3940692579908168,0.26093569277637024,0.3449950492328129,review_warranted,0.3940692579908168,full_fit
CAN-IM8E9J8Y7H,T0,0.26168322191514337,0.354615995107456,0.3837007829774006,insufficient_evidence,0.26168322191514337,full_fit
CAN-IKOH5MXPHE,T0,0.122146835023077,0.504605744254414,0.3732474207225091,review_not_warranted,0.122146835023077,full_fit
CAN-NPLI344G66,T0,0.22451454864938925,0.38356338230486997,0.3919220690457409,insufficient_evidence,0.22451454864938925,full_fit
CAN-ZOT5VL4MCH,T0,0.40214703195186846,0.23609137521807844,0.3617615928300531,review_warranted,0.40214703195186846,full_fit
CAN-4OF8Y9P3W7,T0,0.19664462113874628,0.327981219509594,0.4753741593516598,insufficient_evidence,0.19664462113874628,full_fit
CAN-Z9GFHZRGVT,T0,0.20868022432523586,0.41471106320946094,0.3766087124653032,review_not_warranted,0.20868022432523586,full_fit
CAN-VEM9FLAUD4,T0,0.45034824706912496,0.22388635389998818,0.3257653990308869,review_warranted,0.45034824706912496,full_fit
CAN-7S5O3NF7VE,T0,0.4632955607331019,0.2514700442064425,0.2852343950604557,review_warranted,0.4632955607331019,full_fit
CAN-TF8EEP4TNZ,T0,0.24101640716756859,0.4357563096509476,0.3232272831814839,review_not_warranted,0.24101640716756859,full_fit
