model,outer_fold,selected_config,inner_calibrated_log_loss,temperature,selected_iterations,log_loss,macro_f1,accuracy,brier_multiclass,brier_macro_ovr,ece_10bin
catboost,0,catboost_depth3,1.0617195957237666,0.8832716594530294,230.0,0.9730953436643859,0.5425685425685426,0.55,0.5853077011647857,0.19510256705492857,0.11613664850637108
catboost,1,catboost_depth4,1.020459206118962,0.8630894740567417,247.0,1.051734250503668,0.44770857814336074,0.45,0.6429489783983977,0.21431632613279925,0.10898344691293613
catboost,2,catboost_depth4,1.0310195109744218,0.8718109493890929,213.0,1.0737600711944428,0.3800115905379063,0.38333333333333336,0.6550232496052993,0.21834108320176648,0.12847033273094113
catboost,3,catboost_depth3,1.0366038946238012,0.9960870585379594,233.0,1.0381413889069808,0.400345694531741,0.4,0.6348265766275947,0.21160885887586486,0.04726190657864256
catboost,4,catboost_depth4,1.029130525686446,0.7307472880582774,255.0,1.0339310657566745,0.46547600231810754,0.4666666666666667,0.6250166564272296,0.2083388854757432,0.04514898312965421
logistic,0,logistic_c_0_1,1.074782997364116,3.261056062208213,,1.0495838845399017,0.4518447018447018,0.4666666666666667,0.633918229453253,0.21130607648441774,0.07808632595767323
logistic,1,logistic_c_0_1,1.023100995905071,1.6510458286157803,,1.0619836827117681,0.48148148148148145,0.48333333333333334,0.6446214205539004,0.2148738068513001,0.09036286503304702
logistic,2,logistic_c_0_1,1.0419746954825984,2.0522430646808103,,1.0694636186813782,0.46538908246225313,0.4666666666666667,0.6480070597133406,0.21600235323778025,0.12708347366292175
logistic,3,logistic_c_0_1,1.0701806808560688,2.7770865058167864,,1.038032616807151,0.42087785459878485,0.4166666666666667,0.6286883396209219,0.20956277987364066,0.09583087497741502
logistic,4,logistic_c_0_1,1.0323115451269436,1.635693202980455,,1.0635890523114868,0.48333333333333334,0.48333333333333334,0.642668758152818,0.21422291938427268,0.1272018782461231
