candidate_record_id,p_review_warranted_t0,p_review_not_warranted_t0,p_insufficient_evidence_t0,priority_t0,prediction_origin_t0,new_t1_record_count,new_t1_oos_count,new_t1_de_count,new_t1_state_missing_count,new_t1_source_domain_diversity,new_t1_new_record_count,new_t1_record_correction_count,new_t1_status_update_count,newly_effective_t0_record_count,delta_days_since_latest_oos,delta_days_since_latest_de,delta_oos_decay_90d,delta_de_decay_90d,delta_recent_oos_independent_source_count_90d,delta_recent_de_independent_source_count_90d,delta_active_address_oos_count,delta_active_address_de_count,delta_link_confidence_mean,delta_post_60d_oos_vehicle_signal_count,delta_post_60d_prior_state_persistence_any_present,delta_t1_update_observation_lag_mean_days,delta_t1_late_arriving_update_count_over_30d
CAN-Z1CEVWXUT0,0.1139873445030929,0.5415623184093628,0.3444503370875444,0.1139873445030929,full_fit,0,0,0,0,0,0,0,0,0,96.0,96.0,-0.463589365282091,-0.1285337732541282,-1,0,0,0,0.0,0,0,0.0,0
CAN-SIB7ACY70G,0.2494211025602338,0.3337984356776395,0.4167804617621266,0.2494211025602338,full_fit,2,2,0,0,1,1,0,1,2,-25.0,-44.0,0.7381165958286324,0.8791092178855221,-1,2,0,0,0.0002424242424242,2,1,37.0,1
CAN-PQXQQ41OZ5,0.2455586025091986,0.31948879401747,0.4349526034733312,0.2455586025091986,full_fit,1,0,1,0,1,1,0,0,0,88.0,-279.0,-0.5254801417674002,0.7373246715395443,-1,1,0,0,0.0023351648351648,0,0,29.0,0
CAN-QCF4GZN8TD,0.2513466242300688,0.390320317464147,0.358333058305784,0.2513466242300688,outer_oof,1,0,1,0,1,1,0,0,1,-216.0,-158.0,0.3777777951807385,0.5885627826808244,0,1,0,1,-0.0003076923076922,0,0,12.0,0
CAN-TP15Z7VRP7,0.3940692579908168,0.2609356927763702,0.3449950492328129,0.3940692579908168,full_fit,2,1,1,0,2,0,0,2,0,-47.0,-104.0,0.8018933644282296,0.6886778274726345,1,1,1,0,-0.0005128205128204,0,0,14.0,0
CAN-IM8E9J8Y7H,0.2616832219151433,0.354615995107456,0.3837007829774006,0.2616832219151433,full_fit,2,1,1,0,2,1,1,0,0,-221.0,-38.0,0.567243474889757,0.3796365838123241,1,0,1,0,0.0018205128205128,0,0,29.0,1
CAN-IKOH5MXPHE,0.122146835023077,0.504605744254414,0.3732474207225091,0.122146835023077,full_fit,2,1,1,0,2,1,0,1,0,9.0,-110.0,0.2745372043751064,0.5701737866782903,1,1,0,0,0.0031944444444443,0,0,43.5,2
CAN-NPLI344G66,0.2245145486493892,0.3835633823048699,0.3919220690457409,0.2245145486493892,full_fit,2,1,1,0,2,1,0,1,0,-120.0,-135.0,0.7663673520026235,0.6909519272304047,1,1,0,0,0.0023809523809524,0,0,22.0,1
CAN-ZOT5VL4MCH,0.4021470319518684,0.2360913752180784,0.3617615928300531,0.4021470319518684,full_fit,2,1,1,0,1,1,1,0,0,-213.0,-75.0,0.6041346500016768,0.6277883103984501,1,0,0,0,-0.0004953560371518,0,0,34.5,1
CAN-4OF8Y9P3W7,0.1966446211387462,0.327981219509594,0.4753741593516598,0.1966446211387462,full_fit,2,0,2,0,2,0,1,1,1,-92.0,-208.0,0.5625716553324568,1.5257355427151302,1,2,0,1,0.001525974025974,0,0,27.0,1
