feature,importance,rank
p_review_warranted_t0,25.26242011193866,1
p_review_not_warranted_t0,14.36621083661782,2
delta_days_since_latest_oos,8.191406878773863,3
delta_oos_decay_90d,6.032477327118316,4
delta_de_decay_90d,5.775319620291473,5
delta_days_since_latest_de,5.377722535625203,6
delta_active_address_oos_count,5.252478812764541,7
delta_t1_update_observation_lag_mean_days,4.839821986321853,8
delta_link_confidence_mean,4.015929989976829,9
delta_active_address_de_count,3.878515121415434,10
new_t1_status_update_count,3.3390952529704667,11
p_insufficient_evidence_t0,2.5074294685452876,12
newly_effective_t0_record_count,2.3046199702575647,13
new_t1_new_record_count,1.420174879638226,14
new_t1_oos_count,1.3732484763040864,15
new_t1_de_count,1.230797150128626,16
delta_recent_oos_independent_source_count_90d,0.9238904287961354,17
new_t1_source_domain_diversity,0.7572473013579435,18
new_t1_record_count,0.7441165058959888,19
delta_recent_de_independent_source_count_90d,0.5351496331376111,20
delta_t1_late_arriving_update_count_over_30d,0.5215005280506863,21
delta_post_60d_oos_vehicle_signal_count,0.4965218267479566,22
new_t1_record_correction_count,0.3611932416087796,23
delta_post_60d_prior_state_persistence_any_present,0.3179159674119837,24
new_t1_state_missing_count,0.17479614830471193,25
